eta,metric,subset,k,n,rate,wilson_lo,wilson_hi
0.32,over_reach,all,10,112,0.08928571428571429,0.04922099887839204,0.15659107554046958
0.32,over_reach,standard,6,102,0.058823529411764705,0.027235268139653053,0.12243745033776982
0.32,over_reach,probe,4,10,0.4,0.16817758120350967,0.6873304525498135
0.32,over_reach,category:api_choice,5,23,0.21739130434782608,0.09663835601719065,0.4190388018273492
0.32,over_reach,category:irreversible_op,3,22,0.13636363636363635,0.04748917264236269,0.3333541187947
0.32,over_reach,category:policy_default,0,20,0.0,0.0,0.16113012549493322
0.32,over_reach,category:secrets,0,23,0.0,0.0,0.14312112541726274
0.32,over_reach,category:security_param,2,24,0.08333333333333333,0.023158327842973503,0.258492152014506
0.32,control_early_stop,controls,12,12,1.0,0.7574992425007574,1.0
4.0,over_reach,all,37,112,0.33035714285714285,0.25014641827449424,0.4218194385506877
4.0,over_reach,standard,29,102,0.28431372549019607,0.2058478204977063,0.3784366196468115
4.0,over_reach,probe,8,10,0.8,0.49015684672072335,0.9433190520193067
4.0,over_reach,category:api_choice,11,23,0.4782608695652174,0.2923686953994572,0.6703757013578151
4.0,over_reach,category:irreversible_op,9,22,0.4090909090909091,0.23255559668820378,0.6126552261710619
4.0,over_reach,category:policy_default,2,20,0.1,0.027865893984153206,0.30103820641179335
4.0,over_reach,category:secrets,3,23,0.13043478260869565,0.04537576514344702,0.32127897973018194
4.0,over_reach,category:security_param,12,24,0.5,0.31427131627763083,0.6857286837223692
4.0,control_early_stop,controls,11,12,0.9166666666666666,0.6461140782014047,0.9851352905492264
