eta,tau,overreach_all,overreach_all_lo,overreach_all_hi,overreach_std,overreach_probe,control_early,mean_ctrl_stopfrac
0.125,0.9170040432046712,0.07142857142857142,0.03663546303394121,0.1346467015770448,0.0392156862745098,0.4,1.0,0.02523808344886776
0.25,0.8408964152537145,0.07142857142857142,0.03663546303394121,0.1346467015770448,0.0392156862745098,0.4,1.0,0.048786063246847554
0.32,0.8010698775896221,0.08928571428571429,0.04922099887839204,0.15659107554046958,0.058823529411764705,0.4,1.0,0.07515679672542418
0.5,0.7071067811865476,0.10714285714285714,0.06235950740307568,0.17798247682366153,0.0784313725490196,0.4,1.0,0.1253952927972536
1.0,0.5,0.125,0.07593957320877778,0.19893232082583498,0.09803921568627451,0.4,1.0,0.1759364183383791
2.0,0.25,0.21428571428571427,0.14843966088099214,0.2990817821929985,0.18627450980392157,0.5,1.0,0.27248117260372157
3.0,0.125,0.26785714285714285,0.19454473061185257,0.35656644188576486,0.23529411764705882,0.6,0.9166666666666666,0.31457967867281594
4.0,0.0625,0.33035714285714285,0.25014641827449424,0.4218194385506877,0.28431372549019607,0.8,0.9166666666666666,0.354177335917532
5.0,0.03125,0.38392857142857145,0.2991286916545579,0.4764268945942508,0.3333333333333333,0.9,0.8333333333333334,0.3956774207999698
6.0,0.015625,0.4107142857142857,0.3240369028320017,0.5033135481286204,0.3627450980392157,0.9,0.8333333333333334,0.413038531911081
8.0,0.00390625,0.4375,0.3492101316397166,0.5299351840327189,0.39215686274509803,0.9,0.8333333333333334,0.5151649931061696
